,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,prev_minutes_per_match_1,prev_full_matches_played_1,prev_xg_performance_1,prev_npxg_performance_1,prev_xg_per_shot_1,prev_penalty_taker_1,prev_goals_per_90_1,prev_assists_per_90_1,prev_ga_per_90_1,prev_xg_per_90_1,prev_xa_per_90_1,prev_goals_1,prev_goals_2,main_pos,position_1,position_2,position_3,position_4
1823,ENG-Premier League,2425,Chelsea,renato veiga,1,2024,80,11383,M S,7,143,0,0.13544834405183792,0,0.13544834405183792,0,0.0,3,0,2,0,0.8124905750155449,0.798570029437542,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
1572,ENG-Premier League,2324,Sheffield United,rhian brewster,1,2023,238,5569,F S,13,302,0,0.34494016505777836,0,0.34494016505777836,0,0.10135408118367195,7,2,0,1,0.784455269575119,0.3381610158830881,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
1573,ENG-Premier League,2324,Sheffield United,rhys norrington-davies,1,2023,238,12291,D S,5,107,0,0.0,0,0.0,0,0.026197632774710655,0,1,1,0,0.08285419456660748,0.05665656179189682,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
267,ENG-Premier League,2122,Leicester,ricardo pereira,1,2021,75,3303,D M S,14,1000,1,0.5782482028007507,1,0.5782482028007507,3,1.4025978948920965,10,10,3,0,5.104849815368652,4.257838945835829,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
833,ENG-Premier League,2223,Leicester,ricardo pereira,1,2022,75,3303,D M S,10,450,1,0.08412889763712883,1,0.08412889763712883,1,0.41531921178102493,2,7,2,0,1.4952941313385963,1.1759900078177452,8.0,0.0,71.42857142857143,11.11111111111111,0.42175179719924927,0.42175179719924927,0.05782482028007507,0.0,0.09,0.27,0.36,0.05204233825206757,0.1262338105402887,1,0,2,0,1,0,0
1962,ENG-Premier League,2425,Leicester,ricardo pereira,1,2024,75,3303,D S,10,378,0,0.11117679998278618,0,0.11117679998278618,0,0.0,2,0,1,0,1.118471845984459,1.0300674214959145,21.0,0.0,45.0,5.0,0.9158711023628712,0.9158711023628712,0.042064448818564415,0.0,0.2,0.2,0.4,0.016825779527425765,0.08306384235620498,1,1,1,1,0,0,0
1682,ENG-Premier League,2425,Arsenal,riccardo calafiori,1,2024,83,8129,D S,19,986,2,0.7747622476890683,2,0.7747622476890683,1,0.4056127071380615,10,6,4,0,4.117603804916143,3.7665633261203766,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
2243,ENG-Premier League,2526,Arsenal,riccardo calafiori,1,2025,83,8129,D,11,890,1,2.14164474979043,1,2.14164474979043,2,0.3853544294834137,19,4,3,0,4.440442681312561,3.487583488225937,1.0,1.0,51.89473684210526,10.955555555555556,1.2252377523109317,1.2252377523109317,0.07747622476890684,0.0,0.18255578093306288,0.09127789046653144,0.2738336713995943,0.07071866358216648,0.037023472253981275,2,0,1,1,0,0,0
209,ENG-Premier League,2122,Everton,richarlison,1,2021,72,6026,F M S,30,2532,10,10.01377157587558,7,7.73029859084636,5,4.38378893956542,74,29,8,0,11.769672244787216,3.0044056214392185,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
1033,ENG-Premier League,2223,Tottenham,richarlison,1,2022,82,6026,F M S,27,982,1,3.5169356428086758,1,3.5169356428086758,3,1.7408953551203012,27,16,3,0,5.353842290118337,1.5918804369866848,4.0,1.0,84.4,28.133333333333333,-0.01377157587558031,-0.7302985908463597,0.13532123751183217,1.0,0.35545023696682465,0.17772511848341233,0.533175355450237,0.3559397479576628,0.15582188173810735,10,0,3,0,0,1,0
1605,ENG-Premier League,2324,Tottenham,richarlison,1,2023,82,6026,F M S,28,1511,11,9.619059151038527,11,9.619059151038527,4,1.9676255472004414,61,15,3,0,12.735109627246857,2.2886698860675097,8.0,0.0,36.370370370370374,10.911111111111111,-2.5169356428086758,-2.5169356428086758,0.13025687565958058,0.0,0.09164969450101833,0.27494908350305497,0.3665987780040733,0.32232607724315765,0.1595525274550174,1,10,3,0,0,1,0
2158,ENG-Premier League,2425,Tottenham,richarlison,1,2024,82,6026,F S,15,471,4,4.302900910377502,4,4.302900910377502,1,0.8242609575390816,17,4,2,0,3.5217423737049103,0.07880378514528275,5.0,1.0,53.964285714285715,16.788888888888888,1.3809408489614725,1.3809408489614725,0.15768949427932014,0.0,0.6551952349437459,0.2382528127068167,0.8934480476505626,0.5729419745820433,0.11719808024357362,11,1,3,0,0,1,0
